Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Payment Method,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Purchase Frequency
1,65+,Male,Smartphone,Electronics,177.62,Virginia,N/A,N/A,Fall,4,Yes,Cash,Express,Yes,No,6,Bi-Weekly
2,65+,Male,Camera,Electronics,463.78,Virginia,N/A,N/A,Spring,5,No,Bank Transfer,Free Shipping,No,No,5,Weekly
3,18-25,Female,Laptop,Electronics,413.51,New York,N/A,N/A,Spring,3,No,Bank Transfer,Express,Yes,No,6,Annually
4,46-55,Female,Jewelry,Accessories,33.01,Michigan,N/A,Blue,Spring,4,No,Cash,Free Shipping,Yes,No,4,Monthly
5,36-45,Female,Boots,Footwear,53.59,Pennsylvania,XS,Black,Winter,4,No,Credit Card,Next Day Delivery,No,No,6,Monthly
6,56-65,Male,Furniture,Home & Garden,165.75,Virginia,N/A,N/A,Winter,5,Yes,Bank Transfer,Standard,No,No,5,Quarterly
7,18-25,Female,Puzzle,Toys & Games,43.73,New Jersey,N/A,N/A,Fall,4,No,Bank Transfer,Express,No,Yes,6,Weekly
8,18-25,Male,Sunglasses,Accessories,125.51,Texas,N/A,Brown,Summer,5,No,Credit Card,Free Shipping,No,No,7,Monthly
9,46-55,Male,Camping Gear,Sports & Outdoors,115.22,Pennsylvania,N/A,N/A,Fall,4,No,Cash,Next Day Delivery,No,No,5,Weekly
10,56-65,Male,Running Shoes,Footwear,105.05,Virginia,S,White,Winter,4,No,PayPal,Next Day Delivery,No,No,9,Annually
11,26-35,Male,Fitness Equipment,Sports & Outdoors,127.77,New York,N/A,N/A,Spring,5,Yes,Debit Card,Free Shipping,No,No,5,Monthly
12,18-25,Female,Belt,Accessories,100.44,Virginia,N/A,Blue,Summer,5,No,PayPal,Free Shipping,No,No,5,Quarterly
13,26-35,Female,Kitchenware,Home & Garden,134.61,New York,N/A,N/A,Fall,5,Yes,Bank Transfer,Free Shipping,No,No,7,Annually
14,46-55,Female,Camping Gear,Sports & Outdoors,128.09,Florida,N/A,N/A,Winter,5,Yes,Credit Card,Standard,No,No,3,Weekly
15,26-35,Male,Casual Shoes,Footwear,42.47,Ohio,XL,Black,Winter,5,No,PayPal,Free Shipping,Yes,No,5,Annually
16,36-45,Female,Board Game,Toys & Games,36.03,New Jersey,N/A,N/A,Spring,5,Yes,Bank Transfer,Next Day Delivery,No,No,4,Monthly
17,18-25,Female,Bedding,Home & Garden,34.8,Florida,N/A,N/A,Winter,5,No,Credit Card,Next Day Delivery,No,No,5,Annually
18,26-35,Female,Board Game,Toys & Games,52.86,New Jersey,N/A,N/A,Fall,4,Yes,Bank Transfer,Express,Yes,No,1,Bi-Weekly
19,36-45,Female,Running Shoes,Footwear,172.47,North Carolina,XS,Green,Fall,4,Yes,PayPal,Standard,No,No,7,Weekly
20,36-45,Male,Kitchenware,Home & Garden,256.01,California,N/A,N/A,Summer,3,Yes,Bank Transfer,Standard,No,No,9,Weekly
21,65+,Female,Novel,Books & Media,23.76,North Carolina,N/A,N/A,Summer,5,No,Cash,Free Shipping,No,No,5,Annually
22,26-35,Female,Garden Tools,Home & Garden,209.23,Michigan,N/A,N/A,Winter,4,No,Cash,Express,No,Yes,9,Monthly
23,46-55,Female,Bike,Sports & Outdoors,128.27,North Carolina,N/A,N/A,Winter,5,No,Credit Card,Express,No,No,8,Bi-Weekly
24,18-25,Male,Fitness Equipment,Sports & Outdoors,125.43,Michigan,N/A,N/A,Summer,5,No,Bank Transfer,Express,No,No,3,Weekly
25,18-25,Male,Pants,Clothing,76.93,Texas,XS,Brown,Fall,5,No,Credit Card,Express,Yes,No,2,Monthly
26,65+,Female,Magazine,Books & Media,14.22,North Carolina,N/A,N/A,Summer,3,No,Bank Transfer,Free Shipping,No,No,6,Bi-Weekly
27,46-55,Other,Makeup,Beauty & Personal Care,55.1,Texas,N/A,N/A,Spring,5,No,PayPal,Next Day Delivery,Yes,Yes,9,Quarterly
28,46-55,Male,Novel,Books & Media,33.66,New Jersey,N/A,N/A,Spring,3,No,Credit Card,Free Shipping,No,Yes,2,Monthly
29,18-25,Female,Handbag,Accessories,80.5,New York,N/A,Green,Winter,4,Yes,Cash,Free Shipping,No,No,6,Bi-Weekly
30,36-45,Female,Magazine,Books & Media,43.72,Texas,N/A,N/A,Winter,5,No,Bank Transfer,Standard,No,No,4,Weekly
31,65+,Female,Board Game,Toys & Games,10.0,Texas,N/A,N/A,Summer,4,No,Cash,Free Shipping,No,No,6,Quarterly
32,46-55,Male,Jewelry,Accessories,141.22,California,N/A,White,Winter,5,Yes,Credit Card,Free Shipping,No,Yes,3,Monthly
33,46-55,Male,Bedding,Home & Garden,178.56,Virginia,N/A,N/A,Winter,5,No,Cash,Express,No,No,8,Monthly
34,26-35,Male,Sweater,Clothing,54.21,Virginia,XL,Black,Fall,4,No,Credit Card,Standard,No,No,8,Annually
35,46-55,Male,Action Figure,Toys & Games,39.86,California,N/A,N/A,Spring,5,No,Cash,Standard,No,No,8,Annually
36,18-25,Male,Jewelry,Accessories,84.79,Texas,N/A,Green,Summer,5,No,Bank Transfer,Standard,No,No,3,Annually
37,18-25,Female,Hair Care,Beauty & Personal Care,36.33,Illinois,N/A,N/A,Summer,4,No,Debit Card,Express,No,Yes,8,Monthly
38,46-55,Male,Casual Shoes,Footwear,130.19,New Jersey,M,Red,Fall,5,No,Credit Card,Standard,No,No,4,Quarterly
39,56-65,Male,Smartphone,Electronics,654.23,North Carolina,N/A,N/A,Summer,5,No,Bank Transfer,Next Day Delivery,No,No,5,Bi-Weekly
40,36-45,Male,Laptop,Electronics,554.17,Pennsylvania,N/A,N/A,Fall,5,No,Cash,Free Shipping,No,No,7,Annually
41,65+,Female,Garden Tools,Home & Garden,141.13,New Jersey,N/A,N/A,Spring,5,No,Bank Transfer,Next Day Delivery,No,Yes,7,Weekly
42,26-35,Male,Furniture,Home & Garden,228.1,Texas,N/A,N/A,Summer,3,No,Debit Card,Next Day Delivery,No,Yes,9,Annually
43,26-35,Male,Camping Gear,Sports & Outdoors,127.73,New Jersey,N/A,N/A,Fall,5,No,Bank Transfer,Free Shipping,No,No,5,Monthly
44,18-25,Female,Camera,Electronics,180.53,Ohio,N/A,N/A,Fall,4,No,Credit Card,Standard,No,No,8,Monthly
45,26-35,Female,Kitchenware,Home & Garden,27.27,Virginia,N/A,N/A,Winter,3,Yes,Bank Transfer,Free Shipping,No,No,8,Annually
46,18-25,Female,Smartphone,Electronics,655.54,Virginia,N/A,N/A,Summer,4,No,Bank Transfer,Standard,No,No,2,Monthly
47,56-65,Female,Action Figure,Toys & Games,17.25,Ohio,N/A,N/A,Summer,5,No,Credit Card,Next Day Delivery,No,No,9,Monthly
48,18-25,Other,Camping Gear,Sports & Outdoors,10.0,New Jersey,N/A,N/A,Summer,4,No,Credit Card,Next Day Delivery,No,No,3,Annually
49,46-55,Male,Boots,Footwear,138.33,Florida,S,Red,Spring,4,Yes,Cash,Next Day Delivery,No,No,5,Quarterly
50,65+,Male,Sunglasses,Accessories,52.4,Florida,N/A,Brown,Spring,5,Yes,PayPal,Standard,Yes,Yes,6,Quarterly
51,26-35,Female,Jewelry,Accessories,124.05,Pennsylvania,N/A,Blue,Summer,4,No,Cash,Standard,Yes,No,7,Bi-Weekly
52,46-55,Female,Sports Apparel,Sports & Outdoors,72.78,Texas,N/A,N/A,Fall,4,No,Debit Card,Free Shipping,No,No,4,Annually
53,36-45,Male,Shirt,Clothing,55.6,Illinois,S,Green,Fall,5,Yes,Credit Card,Standard,No,No,7,Annually
54,46-55,Male,Sports Apparel,Sports & Outdoors,45.11,Ohio,N/A,N/A,Spring,4,Yes,PayPal,Express,No,No,6,Monthly
55,18-25,Male,Skincare,Beauty & Personal Care,37.36,North Carolina,N/A,N/A,Summer,4,Yes,Debit Card,Free Shipping,Yes,No,5,Weekly
56,65+,Other,Sports Apparel,Sports & Outdoors,85.19,New Jersey,N/A,N/A,Spring,4,No,Debit Card,Next Day Delivery,No,No,8,Quarterly
57,36-45,Male,Hair Care,Beauty & Personal Care,12.45,North Carolina,N/A,N/A,Summer,4,Yes,Cash,Free Shipping,No,No,5,Quarterly
58,65+,Male,Running Shoes,Footwear,122.4,Michigan,M,Red,Spring,5,Yes,Debit Card,Next Day Delivery,No,No,8,Bi-Weekly
